text,amount,label,metadata
Urgent wire transfer detected. Keyword: urgent. Destination: Russia. Amount: $21642.77. Risk: High.,21642.77,1,keyword:urgent
Purchase at Amazon for transport. Date: 2025-07-02. Status: Cleared.,203.2,0,merchant:Amazon
Purchase at Amazon for shopping. Date: 2025-10-13. Status: Cleared.,175.03,0,merchant:Amazon
Purchase at Shell Station for groceries. Date: 2025-08-01. Status: Cleared.,288.59,0,merchant:Shell Station
Purchase at Shell Station for dining. Date: 2025-12-04. Status: Cleared.,281.9,0,merchant:Shell Station
Purchase at Uber for entertainment. Date: 2025-02-27. Status: Cleared.,208.38,0,merchant:Uber
Purchase at Starbucks for shopping. Date: 2025-01-15. Status: Cleared.,25.47,0,merchant:Starbucks
Purchase at Whole Foods for shopping. Date: 2025-03-12. Status: Cleared.,26.0,0,merchant:Whole Foods
Purchase at Starbucks for groceries. Date: 2025-04-21. Status: Cleared.,266.63,0,merchant:Starbucks
Purchase at Target for transport. Date: 2025-06-02. Status: Cleared.,234.59,0,merchant:Target
Purchase at Uber for entertainment. Date: 2025-09-18. Status: Cleared.,163.04,0,merchant:Uber
Purchase at Shell Station for entertainment. Date: 2025-09-27. Status: Cleared.,132.19,0,merchant:Shell Station
Purchase at Walmart for entertainment. Date: 2025-11-14. Status: Cleared.,100.66,0,merchant:Walmart
Purchase at Walmart for dining. Date: 2025-03-10. Status: Cleared.,286.47,0,merchant:Walmart
Purchase at Starbucks for entertainment. Date: 2025-10-31. Status: Cleared.,49.21,0,merchant:Starbucks
Purchase at Walmart for entertainment. Date: 2025-08-09. Status: Cleared.,165.56,0,merchant:Walmart
Urgent wire transfer detected. Keyword: urgent. Destination: Cayman Islands. Amount: $19394.25. Risk: High.,19394.25,1,keyword:urgent
Purchase at Target for dining. Date: 2025-02-19. Status: Cleared.,182.18,0,merchant:Target
Purchase at Starbucks for entertainment. Date: 2025-11-15. Status: Cleared.,149.36,0,merchant:Starbucks
Purchase at Uber for transport. Date: 2025-06-11. Status: Cleared.,108.27,0,merchant:Uber
Purchase at Walmart for entertainment. Date: 2025-08-08. Status: Cleared.,267.66,0,merchant:Walmart
Purchase at Shell Station for groceries. Date: 2025-02-28. Status: Cleared.,286.79,0,merchant:Shell Station
Purchase at Walmart for dining. Date: 2025-04-24. Status: Cleared.,129.82,0,merchant:Walmart
Purchase at Shell Station for entertainment. Date: 2025-11-22. Status: Cleared.,153.05,0,merchant:Shell Station
Purchase at Starbucks for utilities. Date: 2025-12-06. Status: Cleared.,71.6,0,merchant:Starbucks
Purchase at Walmart for dining. Date: 2025-09-22. Status: Cleared.,173.36,0,merchant:Walmart
Purchase at Starbucks for utilities. Date: 2025-04-15. Status: Cleared.,283.83,0,merchant:Starbucks
Purchase at Amazon for dining. Date: 2025-08-18. Status: Cleared.,148.03,0,merchant:Amazon
Purchase at Amazon for entertainment. Date: 2025-11-05. Status: Cleared.,241.55,0,merchant:Amazon
Purchase at Starbucks for dining. Date: 2025-01-07. Status: Cleared.,89.2,0,merchant:Starbucks
Purchase at Amazon for dining. Date: 2025-08-11. Status: Cleared.,205.06,0,merchant:Amazon
Purchase at Starbucks for groceries. Date: 2025-02-08. Status: Cleared.,36.8,0,merchant:Starbucks
Purchase at Shell Station for groceries. Date: 2025-10-06. Status: Cleared.,184.09,0,merchant:Shell Station
Purchase at Walmart for groceries. Date: 2025-07-01. Status: Cleared.,117.29,0,merchant:Walmart
Purchase at Starbucks for dining. Date: 2025-11-10. Status: Cleared.,278.1,0,merchant:Starbucks
Purchase at Amazon for shopping. Date: 2025-06-04. Status: Cleared.,199.06,0,merchant:Amazon
Purchase at Target for transport. Date: 2025-06-28. Status: Cleared.,260.7,0,merchant:Target
Purchase at Whole Foods for utilities. Date: 2025-07-13. Status: Cleared.,214.36,0,merchant:Whole Foods
Urgent wire transfer detected. Keyword: crypto. Destination: Panama. Amount: $29156.87. Risk: High.,29156.87,1,keyword:crypto
Purchase at Netflix for groceries. Date: 2025-05-23. Status: Cleared.,71.29,0,merchant:Netflix
Urgent wire transfer detected. Keyword: offshore. Destination: Russia. Amount: $47342.95. Risk: High.,47342.95,1,keyword:offshore
Purchase at Netflix for dining. Date: 2025-07-06. Status: Cleared.,186.6,0,merchant:Netflix
Purchase at Whole Foods for transport. Date: 2025-04-10. Status: Cleared.,160.77,0,merchant:Whole Foods
Purchase at Netflix for entertainment. Date: 2025-05-09. Status: Cleared.,121.33,0,merchant:Netflix
Purchase at Starbucks for groceries. Date: 2025-03-21. Status: Cleared.,272.41,0,merchant:Starbucks
Purchase at Walmart for transport. Date: 2025-03-29. Status: Cleared.,239.3,0,merchant:Walmart
Purchase at Walmart for dining. Date: 2025-01-18. Status: Cleared.,92.44,0,merchant:Walmart
Purchase at Whole Foods for entertainment. Date: 2025-11-27. Status: Cleared.,115.04,0,merchant:Whole Foods
Purchase at Target for groceries. Date: 2025-01-02. Status: Cleared.,126.96,0,merchant:Target
Purchase at Netflix for shopping. Date: 2025-01-19. Status: Cleared.,294.2,0,merchant:Netflix
Purchase at Amazon for dining. Date: 2025-01-18. Status: Cleared.,96.3,0,merchant:Amazon
Purchase at Amazon for shopping. Date: 2025-12-01. Status: Cleared.,68.11,0,merchant:Amazon
Purchase at Walmart for shopping. Date: 2025-03-21. Status: Cleared.,269.58,0,merchant:Walmart
Purchase at Starbucks for entertainment. Date: 2025-04-14. Status: Cleared.,172.49,0,merchant:Starbucks
Purchase at Amazon for shopping. Date: 2025-07-13. Status: Cleared.,168.01,0,merchant:Amazon
Purchase at Netflix for entertainment. Date: 2025-03-02. Status: Cleared.,122.53,0,merchant:Netflix
Purchase at Walmart for groceries. Date: 2025-04-01. Status: Cleared.,173.9,0,merchant:Walmart
Purchase at Uber for shopping. Date: 2025-07-26. Status: Cleared.,200.29,0,merchant:Uber
Purchase at Starbucks for groceries. Date: 2025-06-21. Status: Cleared.,175.7,0,merchant:Starbucks
Purchase at Whole Foods for utilities. Date: 2025-07-10. Status: Cleared.,97.43,0,merchant:Whole Foods
Purchase at Amazon for dining. Date: 2025-09-07. Status: Cleared.,186.24,0,merchant:Amazon
Urgent wire transfer detected. Keyword: urgent. Destination: Panama. Amount: $27549.58. Risk: High.,27549.58,1,keyword:urgent
Purchase at Walmart for shopping. Date: 2025-08-21. Status: Cleared.,275.92,0,merchant:Walmart
Purchase at Amazon for dining. Date: 2025-05-01. Status: Cleared.,59.99,0,merchant:Amazon
Purchase at Walmart for transport. Date: 2025-11-06. Status: Cleared.,211.43,0,merchant:Walmart
Purchase at Walmart for entertainment. Date: 2025-05-01. Status: Cleared.,183.55,0,merchant:Walmart
Purchase at Netflix for groceries. Date: 2025-04-29. Status: Cleared.,127.77,0,merchant:Netflix
